"Location","Average Lowest-Cost Bronze Premium","Average Lowest-Cost Silver Premium","Average Benchmark Premium","Average Lowest-Cost Gold Premium"
"United States","$364","$468","$477","$488"
"Alabama","$408","$563","$564","$637"
"Alaska","$533","$870","$889","$791"
"Arizona","$329","$373","$403","$475"
"Arkansas","$374","$424","$424","$509"
"California","$367","$438","$468","$492"
"Colorado","$327","$433","$451","$407"
"Connecticut","$567","$648","$661","$627"
"Delaware","$384","$528","$533","$526"
"District of Columbia","$446","$481","$532","$558"
"Florida","$382","$488","$489","$486"
"Georgia","$356","$460","$463","$483"
"Hawaii","$360","$457","$468","$480"
"Idaho","$323","$410","$417","$436"
"Illinois","$371","$461","$473","$518"
"Indiana","$335","$394","$399","$517"
"Iowa","$329","$442","$451","$428"
"Kansas","$372","$485","$486","$521"
"Kentucky","$361","$421","$431","$463"
"Louisiana","$446","$548","$563","$636"
"Maine","$431","$513","$515","$586"
"Maryland","$256","$342","$346","$336"
"Massachusetts","$323","$397","$419","$485"
"Michigan","$294","$374","$381","$417"
"Minnesota","$283","$337","$343","$394"
"Mississippi","$435","$484","$485","$572"
"Missouri","$391","$498","$501","$536"
"Montana","$351","$493","$504","$549"
"Nebraska","$449","$570","$570","$564"
"Nevada","$319","$384","$387","$506"
"New Hampshire","$266","$324","$335","$354"
"New Jersey","$381","$459","$461","$630"
"New Mexico","$399","$449","$471","$377"
"New York","$562","$719","$736","$911"
"North Carolina","$369","$493","$495","$513"
"North Dakota","$318","$463","$486","$453"
"Ohio","$354","$431","$435","$477"
"Oklahoma","$398","$505","$508","$512"
"Oregon","$365","$479","$488","$526"
"Pennsylvania","$302","$434","$445","$391"
"Rhode Island","$281","$380","$400","$395"
"South Carolina","$360","$490","$492","$513"
"South Dakota","$464","$590","$616","$640"
"Tennessee","$378","$490","$501","$504"
"Texas","$334","$468","$475","$409"
"Utah","$378","$500","$507","$543"
"Vermont","$726","$948","$950","$1018"
"Virginia","$284","$370","$371","$371"
"Washington","$293","$403","$415","$411"
"West Virginia","$652","$842","$847","$849"
"Wisconsin","$350","$466","$476","$499"
"Wyoming","$585","$820","$821","$703"


